sample_id	sample_type	category	count
SRR9143066_test	Primary Tumor	junctions_raw	3379.0
SRR9143066_test	Primary Tumor	mean_reads_filtered	2956.0
SRR9143066_test	Primary Tumor	annotated_discarded	35.0
SRR9143066_test	Primary Tumor	normal_shared	28.0
SRR9143066_test	Primary Tumor	gtex_pantissue_shared	41.0
SRR9143066_test	Primary Tumor	tumor_exclusive	319.0
SRR9143066_test	Primary Tumor	min_reads	1.0
SRR9143066_test	Primary Tumor	mean_reads	2.1112755253033444
SRR9143066_test	Primary Tumor	median_reads	1.0
SRR9143066_test	Primary Tumor	max_reads	1612.0
SRR9143066_test	Primary Tumor	normal_shared:Solid Tissue Normal	28.0
