junction_id	fate	reads	donor_in_repeat	acceptor_in_repeat	repeat_classes
chr22:10854248:10854704:+	lost	1	False	False	.
chr22:15883670:15884126:+	lost	1	False	False	.
chr22:16586991:16593385:-	lost	1	True	True	SINE
chr22:17139315:17193451:+	lost	1	True	True	SINE
chr22:17158148:17211186:-	lost	1	True	True	SINE
chr22:17175135:17211186:-	lost	1	True	True	SINE
chr22:17351578:17383903:-	lost	1	True	True	SINE
chr22:17352058:17383903:-	lost	1	True	True	SINE
chr22:17362280:17363578:+	lost	1	True	True	SINE
chr22:17680280:17710645:+	lost	1	True	True	SINE
chr22:17693611:17753198:-	lost	1	True	True	SINE
chr22:17797265:17820029:+	lost	1	True	True	SINE
chr22:17877095:17877436:+	lost	1	False	False	.
chr22:17877095:17877544:+	lost	1	False	False	.
chr22:17937446:17953712:-	lost	1	True	True	SINE
chr22:18522555:18541308:+	lost	1	True	True	SINE
chr22:18524656:18586558:-	lost	1	True	True	SINE
chr22:18524961:18531751:+	lost	1	True	True	SINE
chr22:18526917:18579540:+	lost	1	True	True	SINE
chr22:18538745:18539227:-	lost	1	False	False	.
chr22:18583512:18613633:+	lost	1	True	True	SINE
chr22:18596503:18658583:-	lost	2	True	True	SINE
chr22:18600114:18604229:+	lost	1	True	True	SINE
chr22:18847413:18848342:-	lost	2	False	False	.
chr22:19002230:19006561:-	lost	1	True	True	SINE
chr22:19005399:19006561:-	lost	1	True	True	SINE
chr22:19155687:19205264:-	lost	1	True	True	SINE
chr22:19155687:19211523:-	lost	1	True	True	SINE
chr22:19230340:19272707:+	lost	1	True	True	SINE
chr22:19230340:19274964:+	lost	1	True	True	SINE
chr22:19528633:19576209:+	lost	3	True	True	SINE
chr22:19541160:19576209:+	lost	3	True	True	SINE
chr22:19676887:19697512:+	lost	2	True	True	SINE
chr22:19683249:19697512:+	lost	2	True	True	SINE
chr22:20502733:20505662:+	lost	1	True	True	SINE
chr22:20597499:20656121:-	lost	1	True	True	SINE
chr22:20617784:20656121:-	lost	1	True	True	SINE
chr22:20714529:20714627:-	lost	1	False	False	.
chr22:20759931:20806965:-	lost	1	True	True	SINE
chr22:20767866:20806965:-	lost	1	True	True	SINE
chr22:20789608:20894160:+	lost	1	True	True	SINE
chr22:20832393:20894160:+	lost	1	True	True	SINE
chr22:20899177:20903919:+	lost	2	True	True	SINE
chr22:21075194:21157496:+	lost	1	True	True	SINE
chr22:21083856:21157496:+	lost	1	True	True	SINE
chr22:21283362:21284291:-	lost	2	False	False	.
chr22:21336632:21398840:+	lost	2	True	True	SINE
chr22:21391065:21395225:-	lost	1	True	True	SINE
chr22:21461898:21480663:+	lost	1	True	True	SINE
chr22:21463999:21526103:-	lost	1	True	True	SINE
chr22:21464305:21471108:+	lost	1	True	True	SINE
chr22:21466255:21519097:+	lost	1	True	True	SINE
chr22:21478102:21478584:-	lost	1	False	False	.
chr22:21479830:21479929:-	lost	1	False	False	.
chr22:21523060:21553194:+	lost	1	True	True	SINE
chr22:21558418:21616435:+	lost	2	True	True	SINE
chr22:21572220:21639050:+	lost	1	True	True	SINE
chr22:21574752:21639050:+	lost	1	True	True	SINE
chr22:21575525:21630497:+	lost	1	True	True	SINE
chr22:21581725:21601894:-	lost	1	True	True	SINE
chr22:21883585:21883711:-	lost	1	True	True	Retroposon
chr22:22011773:22016666:-	lost	1	True	True	SINE
chr22:22473986:22477264:+	lost	1	True	True	SINE
chr22:22477000:22477264:+	lost	1	True	True	SINE
chr22:22529913:22531245:+	lost	1	True	True	SINE
chr22:22734666:22734781:+	lost	1	False	False	.
chr22:22758787:22758903:+	lost	1	False	False	.
chr22:22792579:22792695:+	lost	1	False	False	.
chr22:22822867:22822981:+	lost	1	False	False	.
chr22:22899656:22900975:+	lost	1	False	False	.
chr22:22899656:22906341:+	lost	1	False	False	.
chr22:23642713:23643195:+	lost	1	True	True	SINE
chr22:23855274:23855449:+	lost	1	True	True	Retroposon
chr22:23855274:23855575:+	lost	1	True	True	Retroposon
chr22:24199529:24207704:+	lost	1	True	True	SINE
chr22:24252486:24253414:-	lost	2	False	False	.
chr22:24317049:24317275:-	lost	2	True	True	Retroposon
chr22:24317099:24317275:-	lost	1	True	True	Retroposon
chr22:24457782:24464522:-	lost	1	True	True	SINE
chr22:24457923:24464522:-	lost	1	True	True	SINE
chr22:24741284:24766898:+	lost	1	True	True	SINE
chr22:25034282:25089509:+	lost	1	True	True	SINE
chr22:25047387:25089509:+	lost	1	True	True	SINE
