junction_id	chrom	start	end	strand	mapped_reads	sample_id	sample_type	junction_origin	normal_source	reading_frame
chr22:10775225:10776653:+	chr22	10775224	10776653	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:11479337:11479495:+	chr22	11479336	11479495	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:11927732:12085200:+	chr22	11927731	12085200	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:12806405:12878497:+	chr22	12806404	12878497	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:15489450:15549042:+	chr22	15489449	15549042	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:15587453:15594186:+	chr22	15587452	15594186	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:15722954:15906483:-	chr22	15722953	15906483	-	10	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:15804418:15830883:-	chr22	15804417	15830883	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16116444:16164946:+	chr22	16116443	16164946	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16450781:16498492:+	chr22	16450780	16498492	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16464727:16496641:+	chr22	16464726	16496641	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16801469:16881008:+	chr22	16801468	16881008	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16914389:16933681:+	chr22	16914388	16933681	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16921597:16933681:+	chr22	16921596	16933681	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:16974824:17024221:-	chr22	16974823	17024221	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17003262:17026711:+	chr22	17003261	17026711	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17154854:17168142:-	chr22	17154853	17168142	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17200793:17273878:+	chr22	17200792	17273878	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17246431:17251772:+	chr22	17246430	17251772	+	5	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:17250062:17252704:-	chr22	17250061	17252704	-	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17305881:17306279:-	chr22	17305880	17306279	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17310915:17340449:-	chr22	17310914	17340449	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:17343399:17381883:-	chr22	17343398	17381883	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17343654:17343786:-	chr22	17343653	17343786	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17415304:17619021:-	chr22	17415303	17619021	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17465353:17492994:-	chr22	17465352	17492994	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17484688:17541240:+	chr22	17484687	17541240	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17626646:17644923:-	chr22	17626645	17644923	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:17646390:17737489:+	chr22	17646389	17737489	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:18089856:18132418:-	chr22	18089855	18132418	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:18141078:18141183:+	chr22	18141077	18141183	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19155808:19166424:-	chr22	19155807	19166424	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19157432:19255399:-	chr22	19157431	19255399	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19252889:19267769:-	chr22	19252888	19267769	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19314835:19315320:+	chr22	19314834	19315320	+	7	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19420652:19591401:-	chr22	19420651	19591401	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19486824:19521382:-	chr22	19486823	19521382	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19510984:19553419:-	chr22	19510983	19553419	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19537779:19552460:+	chr22	19537778	19552460	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:19539868:19552460:+	chr22	19539867	19552460	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20296321:20301484:+	chr22	20296320	20301484	+	8	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:20377924:20460363:-	chr22	20377923	20460363	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20481767:20484155:-	chr22	20481766	20484155	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20535101:20535702:+	chr22	20535100	20535702	+	9	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:20535101:20543354:+	chr22	20535100	20543354	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20535189:20536106:-	chr22	20535188	20536106	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20707116:20730519:-	chr22	20707115	20730519	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20785315:20832359:-	chr22	20785314	20832359	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20785319:20789578:-	chr22	20785318	20789578	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:20841998:20848019:-	chr22	20841997	20848019	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:20939388:20942768:-	chr22	20939387	20942768	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21395344:21396038:+	chr22	21395343	21396038	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21524486:21572338:+	chr22	21524485	21572338	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21525817:21526121:+	chr22	21525816	21526121	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21539217:21539516:-	chr22	21539216	21539516	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21596634:21605600:+	chr22	21596633	21605600	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21598765:21679126:-	chr22	21598764	21679126	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21615030:21655307:-	chr22	21615029	21655307	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:21659910:21679400:+	chr22	21659909	21679400	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21716140:21730453:-	chr22	21716139	21730453	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21815886:21862536:-	chr22	21815885	21862536	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21839339:21870171:-	chr22	21839338	21870171	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21868445:21868556:+	chr22	21868444	21868556	+	7	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:21892021:21892361:+	chr22	21892020	21892361	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:21902039:21953756:+	chr22	21902038	21953756	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:22414414:22439140:-	chr22	22414413	22439140	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:22534060:22540868:-	chr22	22534059	22540868	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:22899656:22900975:+	chr22	22899655	22900975	+	5	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:22899656:22906341:+	chr22	22899655	22906341	+	7	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:22899656:22919534:+	chr22	22899655	22919534	+	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:22899656:22922593:+	chr22	22899655	22922593	+	6	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:22905026:22906341:+	chr22	22905025	22906341	+	6	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:22905026:22919534:+	chr22	22905025	22919534	+	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:22905026:22922593:+	chr22	22905025	22922593	+	5	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:23132769:23261821:+	chr22	23132768	23261821	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23132783:23170916:+	chr22	23132782	23170916	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23132783:23261834:+	chr22	23132782	23261834	+	49	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:23132889:23261940:+	chr22	23132888	23261940	+	94	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23135214:23143165:-	chr22	23135213	23143165	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23169972:23170607:-	chr22	23169971	23170607	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23261990:23788493:-	chr22	23261989	23788493	-	12	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23643779:23644104:+	chr22	23643778	23644104	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23715670:23740050:-	chr22	23715669	23740050	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23721685:23724887:+	chr22	23721684	23724887	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23725906:23726359:-	chr22	23725905	23726359	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23748823:23796070:+	chr22	23748822	23796070	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:23872220:24052665:-	chr22	23872219	24052665	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24218368:24223012:-	chr22	24218367	24223012	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:24219253:24224304:+	chr22	24219252	24224304	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24300103:24388178:-	chr22	24300102	24388178	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24317049:24317275:-	chr22	24317048	24317275	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:24317049:24317623:-	chr22	24317048	24317623	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:24503028:24538923:+	chr22	24503027	24538923	+	6	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:24650267:24829428:-	chr22	24650266	24829428	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24710039:24739819:+	chr22	24710038	24739819	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24731438:24778933:+	chr22	24731437	24778933	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24811635:24818000:+	chr22	24811634	24818000	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24907196:24930330:+	chr22	24907195	24930330	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24911771:24912088:+	chr22	24911770	24912088	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24949106:24958387:-	chr22	24949105	24958387	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:24980085:24987711:-	chr22	24980084	24987711	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:25029425:25218722:+	chr22	25029424	25218722	+	5	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:25110001:25322614:-	chr22	25110000	25322614	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:25186504:25218563:+	chr22	25186503	25218563	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:25194217:25204560:+	chr22	25194216	25204560	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:25609566:25618008:+	chr22	25609565	25618008	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:25687051:25700817:-	chr22	25687050	25700817	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:25787059:25802597:-	chr22	25787058	25802597	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26315220:26329207:-	chr22	26315219	26329207	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26518117:26533788:-	chr22	26518116	26533788	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26598114:26598614:-	chr22	26598113	26598614	-	8	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26852260:27123464:-	chr22	26852259	27123464	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26880071:26894397:+	chr22	26880070	26894397	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26880205:26894397:+	chr22	26880204	26894397	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:26894398:26931402:+	chr22	26894397	26931402	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:27031178:27035254:+	chr22	27031177	27035254	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:27622738:27668215:+	chr22	27622737	27668215	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:27721778:27721909:-	chr22	27721777	27721909	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:27813335:27880769:-	chr22	27813334	27880769	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:27813647:27820468:+	chr22	27813646	27820468	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28083631:28133343:+	chr22	28083630	28133343	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28164548:28210039:-	chr22	28164547	28210039	-	12	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:28192031:28209877:+	chr22	28192030	28209877	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28229020:28255544:+	chr22	28229019	28255544	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28561006:28561324:-	chr22	28561005	28561324	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:28587081:28588000:+	chr22	28587080	28588000	+	7	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28699164:28699523:-	chr22	28699163	28699523	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28701443:28772098:-	chr22	28701442	28772098	-	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:28705801:28717753:-	chr22	28705800	28717753	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28801523:28920532:+	chr22	28801522	28920532	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28811814:28902172:+	chr22	28811813	28902172	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28859912:28886014:+	chr22	28859911	28886014	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28893641:28894099:+	chr22	28893640	28894099	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28954758:28973121:+	chr22	28954757	28973121	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:28991212:28997933:+	chr22	28991211	28997933	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29155404:29160410:+	chr22	29155403	29160410	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29261814:29262297:-	chr22	29261813	29262297	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29366884:29487644:-	chr22	29366883	29487644	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29375297:29450945:+	chr22	29375296	29450945	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29389020:29394485:+	chr22	29389019	29394485	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29465142:29466667:-	chr22	29465141	29466667	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29492402:29492536:+	chr22	29492401	29492536	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29572167:29735356:+	chr22	29572166	29735356	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29679770:29760276:+	chr22	29679769	29760276	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29737264:29774740:+	chr22	29737263	29774740	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29807768:29821857:+	chr22	29807767	29821857	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29841636:29849431:+	chr22	29841635	29849431	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:29925656:30055329:-	chr22	29925655	30055329	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30103991:30217152:-	chr22	30103990	30217152	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30218712:30230182:-	chr22	30218711	30230182	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30442889:30447381:+	chr22	30442888	30447381	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30484385:30489382:+	chr22	30484384	30489382	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30511856:30512691:-	chr22	30511855	30512691	-	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30511856:30513025:-	chr22	30511855	30513025	-	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
