# scripts/pm/arc_taxonomy.tsv — v1 arc taxonomy (2026-06-05)
# Source of truth for apply_arc_labels.sh. Spec §5:
# docs/superpowers/specs/2026-06-05-arc-work-structuring-design.md
# Columns (whitespace-delimited): arc_slug  arc-phase  issue...
arc:aligner-junctions     active  297 375 377 378 411 636
arc:junction-filtering    later   126 212 304 381 594 663
arc:variant-cohort        later   413 416 436 437 438 440
arc:scoring-tcr-pmhc      active  433 492 547 566 585 601 659 803 804 805 806 807
arc:results-reporting     later   193 198 233 435 455
arc:cloud-reproducibility next    66 183 195 310 630 651 658 664 669 673 674
arc:memory-methodology    later   248 265 324 326 346 353 527 538 539 540 541 542 672
arc:board-governance      active  234 250 294 295 406 445 498 499 533 553 569 578 617 626 633 655 665
arc:immunogenicity-benchmark next 678 680 732 733 734 735 736 737
# unfiled (intentionally NO arc label): 446 451 570 641
